Failed banks,Date closed,Estimated cost to DIF ($ millions)
"Almena State Bank, Almena, KS",10/23/2020,18.3
"First City Bank of Florida, Fort Walton Beach, FL",10/16/2020,10
"The First State Bank, Barboursville, WV",04/03/2020,46.8
"Ericson State Bank, Ericson, NE",02/14/2020,14.1
"City National Bank of New Jersey, Newark, NJ",11/1/2019,2.5
"Resolute Bank, Maumee, OH",10/25/2019,2.2
"Louisa Community Bank, Louisa, KY",10/25/2019,4.5
"The Enloe State Bank, Cooper, TX",05/31/2019,27
"City National Bank of New Jersey, Newark, NJ",11/1/2019,2.5
"Washington Federal Bank for Savings, Chicago",12/15/2017,60.5
"The Farmers and Merchants State Bank of Argonia, Argonia, KS",10/13/2017,2.6
"Fayette County Bank, Saint Elmo, IL",05/26/2017,10.0
"Guaranty Bank, (d/b/a BestBank in Georgia & Michigan), Milwaukee",05/05/2017,146.4
"First NBC Bank, New Orleans",04/28/2017,996.9
"Proficio Bank, Cottonwood Heights, UT",03/03/2017,11.0
"Seaway Bank and Trust Company, Chicago",01/27/2017,57.2
"Harvest Community Bank, Pennsville, NJ",01/13/2017,22.3
"Allied Bank, Mulberry, AR",09/23/2016,6.9
"The Woodbury Banking Company, Woodbury, GA",08/19/2016,5.2
"First CornerStone Bank, King of Prussia, PA",05/06/2016,10.8
"Trust Company Bank, Memphis, TN",04/29/2016,7.2
"North Milwaukee State Bank, Milwaukee",03/11/2016,9.6
"Hometown National Bank, Longview, WA",10/02/2015,1.6
"The Bank of Georgia, Peachtree City, GA",10/02/2015,23.2
"Premier Bank, Denver",07/10/2015,4.4
"Republic Bank of Chicago, Chicago",05/08/2015,16.8
"Doral Bank En Espanol, San Juan, Puerto Rico",02/27/2015,748.9
"Capitol City Bank & Trust Company, Atlanta",02/13/2015,88.9
"Highland Community Bank, Chicago",01/23/2015,5.8
"First National Bank of Crestview, Crestview, FL",01/16/2015,4.4
"Northern Star Bank, Mankato, MN",12/19/2014,5.9
"Frontier Bank, FSB D/B/A El Paseo Bank, Palm Desert, CA",11/07/2014,4.7
"The National Republic Bank of Chicago, Chicago",10/24/2014,111.6
"NBRS Financial, Rising Sun, MD",10/17/2014,24.3
"GreenChoice Bank, Chicago",07/25/2014,14.2
"Eastside Commercial Bank, Conyers, GA",07/18/2014,33.9
"The Freedom State Bank, Freedom, OK",06/27/2014,5.8
"Valley Bank, Fort Lauderdale, FL",06/20/2014,7.7
"Valley Bank, Moline, IL",06/20/2014,51.4
"Slavie Federal Savings Bank, Bel Air, MD",05/30/2014,6.6
"Columbia Savings Bank, Cincinnati",05/23/2014,5.3
"AztecAmerica Bank, Berwyn, IL",05/16/2014,18.0
"Allendale County Bank, Fairfax, SC",04/25/2014,17.1
"Millennium Bank, National Association, Sterling, VA",02/28/2014,7.7
"Vantage Point Bank, Horsham, PA",02/28/2014,8.5
"Syringa Bank, Boise, ID",01/31/2014,4.5
"The Bank of Union, El Reno, OK",01/24/2014,70
"DuPage National Bank, West Chicago, IL",01/17/2014,1.6
"Texas Community Bank, National Association, The Woodlands, TX",12/13/2013,10.8
"Bank of Jackson County, Graceville, FL",10/30/2013,5.1
"The Community’s Bank, Bridgeport, CT",9/13/2013,7.8
"First National Bank, Edinburg, TX",9/13/2013,637.5
"Sunrise Bank of Arizona, Phoenix, AZ",8/23/2013,17
"Community South Bank, Parsons, TN",8/23/2013,72.5
"Bank of Wausau, Wausau, WI",8/9/2013,13.5
"First Community Bank of Southwest Florida (also operating as Community Bank of Cape Coral), Ft. Myers, FL",8/2/2013,27.1
"Mountain National Bank, Sevierville, TN",6/7/2013,33.5
"1st Commerce Bank, North Las Vegas, NV",6/6/2013,9.4
"Banks of Wisconsin (dba Bank of Kenosha), Kenosha, WI",5/31/2013,26.3
"Central Arizona Bank, Scottsdale, AZ",5/14/2013,8.6
"Sunrise Bank, Valdosta, GA",5/10/2013,17.3
"Pisgah Community Bank, Asheville, NC",5/10/2013,8.9
"Parkway Bank, Lenoir, NC",4/26/2013,18.1
"Douglas County Bank, Douglasville, GA",4/26/2013,86.4
"Chipola Community Bank, Marianna, FL",4/19/2013,10.3
"Heritage Bank of North Florida, Orange Park, FL",4/19/2013,30.2
"First Federal Bank, Lexington, KY",4/19/2013,9.7
"Gold Canyon Bank, Gold Canyon, AZ",4/5/2013,11.2
"Frontier Bank, LaGrange, GA",3/8/2013,51.6
"Covenant Bank, Chicago, IL",2/15/2013,21.8
"1st Regents Bank, Andover, MN",1/18/2013,10.5
"Westside Community Bank, University Place, WA",1/1/2013,20.3
"Community Bank of the Ozarks, Sunrise Beach, MO",12/14/2012,10.4
"Hometown Community Bank, Braselton, GA",11/16/2012,36.7
"Citizens First National Bank, Princeton, IL",11/2/2012,45.2
"Heritage Bank of Florida, Lutz, FL",11/2/2012,65.5
"NOVA Bank, Berwyn, PA",10/26/2012,91.2
"GulfSouth Private Bank, Destin, FL",10/19/2012,36.1
"First East Side Savings Bank, Tamarac, FL",10/19/2012,9.1
"Excel Bank, Sedalia, MO",10/19/2012,40.9
"First United Bank, Crete, IL",9/28/2012,48.6
"Truman Bank, St. Louis, MO",9/14/2012,34.0
"First Commercial Bank, Bloomington, MN",9/7/2012,63.9
"Waukegan Savings Bank, Waukegan, IL",8/3/2012,19.8
"Jasper Banking Company, Jasper, GA",7/27/2012,58.1
"Royal Palm Bank, Naples, FL",7/20/2012,13.5
"Georgia Trust Bank, Buford, GA",7/20/2012,20.9
"First Cherokee State Bank, Woodstock, GA",7/20/2012,36.9
"Heartland Bank, Leawood, KS",7/20/2012,3.1
"Second Federal Savings and Loan Association of Chicago, Chicago, IL",7/20/2012,76.9
"Glasgow Savings Bank, Glasgow, MO",7/13/2012,0.1
